product_name,release_year,market_tier_bracket,chipset,storage_gb,ram_gb,storage_type,display_size_inches,display_ppi,display_tech,display_refresh_rate_hz,brightness_nits,battery_capacity_mah,wired_charging_power,has_wireless_charging,rear_main_camera_megapixels,has_ultrawide,has_macro,has_telephoto,has_periscope,aperture,IP_Rating,is_dustproof,is_waterproof,has_optical_image_stabilization,front_camera_megapixels,video_resolution_options,fps,weight_grams,thickness_mm,form_factor,max_network_generation,operating_system,operating_system_version,back_panel_material,chassis_frame_material,HDR_status,rear_camera_count,nano_sim,has_esim_support,display_protection_tier,chipset_score,score_performance_hardware,score_camera_system,score_display,score_design_build_quality,score_battery_charging,score_software_os_connectivity_features,score_overall
Oppo Find X9 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.82,510,LTPO AMOLED,144,1800,7050,100,TRUE,200,TRUE,FALSE,FALSE,TRUE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,235,8.7,bar,5G,Android,16,"Eco-Leather, Glass",Aluminum,Dolby Vision,4,2,TRUE,ultra_premium,97,98.2,96.85,94,76.58,92.73,100,94.29
Oppo Find X9 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.82,510,LTPO AMOLED,144,1800,7050,100,TRUE,200,TRUE,FALSE,FALSE,TRUE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,235,8.7,bar,5G,Android,16,"Eco-Leather, Glass",Aluminum,Dolby Vision,4,2,TRUE,ultra_premium,97,93.04,96.85,94,76.58,92.73,100,93
Oppo Find X9 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,512,12,UFS 4.1,6.82,510,LTPO AMOLED,144,1800,7050,100,TRUE,200,TRUE,FALSE,FALSE,TRUE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,235,8.7,bar,5G,Android,16,"Eco-Leather, Glass",Aluminum,Dolby Vision,4,2,TRUE,ultra_premium,97,88.75,96.85,94,76.58,92.73,100,91.92
Honor Magic8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.71,458,LTPO OLED,120,1800,7100,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,219,8.3,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,92.83,88.98,72.19,92.73,98,91.84
OnePlus 15,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.78,450,LTPO AMOLED,165,1800,7300,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69K,TRUE,TRUE,TRUE,32,4320,30,211,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,83.78,91,74.01,100,98,91.71
Realme GT 8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.79,508,AMOLED,144,2000,7000,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.8,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,214,8.2,bar,5G,Android,16,"Eco-Leather, Plastic",Aluminum,Dolby Vision,3,2,TRUE,premium_branded,97,98.2,83.78,88.96,76.13,100,98,91.51
Xiaomi 17,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.3,460,LTPO AMOLED,120,1400,6330,100,TRUE,50,TRUE,FALSE,TRUE,FALSE,1.7,IP68,TRUE,TRUE,TRUE,50,4320,30,191,8.1,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,98.2,88.43,85.67,83.53,92.73,98,91.43
Oppo Find X9 Ultra,2026,Flagship,Snapdragon 8 Elite Gen 5,256,12,UFS 4.1,6.82,510,LTPO AMOLED,144,1800,7050,100,TRUE,200,TRUE,FALSE,FALSE,TRUE,1.5,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,235,8.7,bar,5G,Android,16,"Eco-Leather, Glass",Aluminum,Dolby Vision,4,2,TRUE,ultra_premium,97,86.17,96.85,94,76.58,92.73,100,91.28
vivo iQOO 15,2025,Flagship,Snapdragon 8 Elite Gen 5,1024,16,UFS 4.1,6.85,508,LTPO AMOLED,144,2600,7000,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.9,IP68/IP69,TRUE,TRUE,TRUE,32,4320,30,215,8.1,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,98.2,82.12,100,64.01,92.73,98,91.08
vivo X300 Pro,2025,Flagship,Dimensity 9500,1024,16,UFS 4.1,6.78,452,LTPO AMOLED,120,1800,6510,90,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69,TRUE,TRUE,TRUE,50,4320,30,226,8,bar,5G,Android,16,Glass,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,96,97.6,87.08,88.62,79.02,89.09,98,90.61
Honor Magic8 Pro,2025,Flagship,Snapdragon 8 Elite Gen 5,512,16,UFS 4.1,6.71,458,LTPO OLED,120,1800,7100,100,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,219,8.3,bar,5G,Android,16,Plastic,Aluminum,Dolby Vision,3,2,TRUE,ultra_premium,97,93.04,92.83,88.98,72.19,92.73,98,90.55
Honor Magic8 RSR Porsche Design,2026,Flagship,Snapdragon 8 Elite Gen 5,1024,24,UFS,6.71,458,LTPO OLED,120,1800,7200,120,TRUE,50,TRUE,FALSE,FALSE,FALSE,1.6,IP68/IP69K,TRUE,TRUE,TRUE,50,2160,120,239,8.5,bar,5G,Android,16,Unknown,Aluminum,Dolby Vision,3,2,TRUE,none_generic,97,91.45,92.83,88.98,62.94,100,100,90.52
